Country,Happiness.Score,Generosity
Norway,7.53700017929077,0.36201223731041
Denmark,7.52199983596802,0.355280488729477
Iceland,7.50400018692017,0.475540220737457
Switzerland,7.49399995803833,0.290549278259277
Finland,7.4689998626709,0.24548277258873
Netherlands,7.3769998550415,0.470489829778671
Canada,7.31599998474121,0.435539722442627
New Zealand,7.31400012969971,0.500005125999451
Sweden,7.28399991989136,0.385399252176285
Australia,7.28399991989136,0.477699249982834
Israel,7.21299982070923,0.330082654953003
Costa Rica,7.0789999961853,0.214613229036331
Austria,7.00600004196167,0.316472321748734
United States,6.99300003051758,0.392578780651093
Ireland,6.97700023651123,0.42785832285881
Germany,6.95100021362305,0.336269170045853
Belgium,6.89099979400635,0.231503337621689
Luxembourg,6.86299991607666,0.283180981874466
United Kingdom,6.71400022506714,0.492774158716202
Chile,6.65199995040894,0.326662421226501
United Arab Emirates,6.64799976348877,0.3609419465065
Brazil,6.63500022888184,0.16234989464283
Czech Republic,6.60900020599365,0.0881067588925362
Argentina,6.59899997711182,0.109457060694695
Mexico,6.57800006866455,0.120990432798862
Singapore,6.57200002670288,0.345965981483459
Malta,6.52699995040894,0.574730575084686
Uruguay,6.4539999961853,0.175096929073334
Guatemala,6.4539999961853,0.283488392829895
Panama,6.4520001411438,0.21055693924427
France,6.44199991226196,0.129762306809425
Thailand,6.42399978637695,0.572123110294342
Taiwan Province of China,6.42199993133545,0.258360475301743
Spain,6.40299987792969,0.190133571624756
Qatar,6.375,0.330473870038986
Colombia,6.35699987411499,0.149014472961426
Saudi Arabia,6.3439998626709,0.147616013884544
Trinidad and Tobago,6.16800022125244,0.325296461582184
Kuwait,6.10500001907349,0.228289797902107
Slovakia,6.09800004959106,0.136544480919838
Bahrain,6.08699989318848,0.172668486833572
Malaysia,6.08400011062622,0.416608929634094
Nicaragua,6.07100009918213,0.301674216985703
Ecuador,6.00799989700317,0.150112465023994
El Salvador,6.00299978256226,0.0782579854130745
Poland,5.97300004959106,0.158465966582298
Uzbekistan,5.97100019454956,0.415983647108078
Italy,5.96400022506714,0.17278964817524
Russia,5.96299982070923,0.0522638224065304
Belize,5.95599985122681,0.240015640854836
Japan,5.92000007629395,0.12057276815176
Lithuania,5.90199995040894,0.010164656676352
Algeria,5.87200021743774,0.0694366469979286
Latvia,5.84999990463257,0.153074786067009
South Korea,5.83799982070923,0.206674367189407
Moldova,5.83799982070923,0.208779126405716
Romania,5.82499980926514,0.133519917726517
Bolivia,5.82299995422363,0.22556072473526
Turkmenistan,5.82200002670288,0.24992498755455
Kazakhstan,5.81899976730347,0.201964423060417
North Cyprus,5.80999994277954,0.266845703125
Slovenia,5.75799989700317,0.242649093270302
Peru,5.71500015258789,0.126819714903831
Mauritius,5.62900018692017,0.360933750867844
Cyprus,5.62099981307983,0.271254301071167
Estonia,5.61100006103516,0.0988908112049103
Belarus,5.56899976730347,0.15513750910759
Libya,5.52500009536743,0.152073666453362
Turkey,5.5,0.0466930419206619
Paraguay,5.49300003051758,0.224150657653809
"Hong Kong S.A.R., China",5.47200012207031,0.374465793371201
Philippines,5.42999982833862,0.193513423204422
Serbia,5.39499998092651,0.220125883817673
Jordan,5.33599996566772,0.172170460224152
Hungary,5.32399988174438,0.0784016624093056
Jamaica,5.31099987030029,0.233818337321281
Croatia,5.29300022125244,0.248002976179123
Kosovo,5.27899980545044,0.319931447505951
China,5.27299976348877,0.0288068410009146
Pakistan,5.26900005340576,0.315446019172668
Indonesia,5.26200008392334,0.611704587936401
Venezuela,5.25,0.0650196298956871
Montenegro,5.23699998855591,0.197911024093628
Morocco,5.2350001335144,0.0322099551558495
Azerbaijan,5.23400020599365,0.0452693402767181
Dominican Republic,5.23000001907349,0.186967849731445
Greece,5.22700023651123,0
Lebanon,5.22499990463257,0.264450758695602
Portugal,5.19500017166138,0.0951027125120163
Bosnia and Herzegovina,5.18200016021729,0.328867495059967
Honduras,5.18100023269653,0.236188873648643
Macedonia,5.17500019073486,0.25376096367836
Somalia,5.15100002288818,0.291631311178207
Vietnam,5.07399988174438,0.234968051314354
Nigeria,5.07399988174438,0.230947196483612
Tajikistan,5.04099988937378,0.248997643589973
Bhutan,5.01100015640259,0.474054545164108
Kyrgyzstan,5.00400018692017,0.42858037352562
Nepal,4.96199989318848,0.394096165895462
Mongolia,4.95499992370605,0.338464230298996
South Africa,4.8289999961853,0.139362379908562
Tunisia,4.80499982833862,0.0496933571994305
Palestinian Territories,4.77500009536743,0.114173173904419
Egypt,4.7350001335144,0.128631442785263
Bulgaria,4.71400022506714,0.113177694380283
Sierra Leone,4.70900011062622,0.293040901422501
Cameroon,4.69500017166138,0.236298456788063
Iran,4.69199991226196,0.387242913246155
Albania,4.64400005340576,0.201312944293022
Bangladesh,4.60799980163574,0.172255352139473
Namibia,4.57399988174438,0.0771337449550629
Kenya,4.55299997329712,0.444860309362411
Mozambique,4.55000019073486,0.322228103876114
Myanmar,4.54500007629395,0.838075160980225
Senegal,4.53499984741211,0.183468893170357
Zambia,4.51399993896484,0.249580144882202
Iraq,4.49700021743774,0.19963726401329
Gabon,4.46500015258789,0.0437853783369064
Ethiopia,4.46000003814697,0.312650740146637
Sri Lanka,4.44000005722046,0.490863561630249
Armenia,4.37599992752075,0.0834880918264389
India,4.31500005722046,0.231538489460945
Mauritania,4.29199981689453,0.201870024204254
Congo (Brazzaville),4.29099988937378,0.120852127671242
Georgia,4.28599977493286,0.0540088154375553
Congo (Kinshasa),4.28000020980835,0.246455833315849
Mali,4.19000005722046,0.183354198932648
Ivory Coast,4.17999982833862,0.201237469911575
Cambodia,4.16800022125244,0.385922968387604
Sudan,4.13899993896484,0.182317450642586
Ghana,4.11999988555908,0.256923943758011
Ukraine,4.09600019454956,0.270061463117599
Uganda,4.08099985122681,0.325766056776047
Burkina Faso,4.03200006484985,0.250864684581757
Niger,4.02799987792969,0.228673845529556
Malawi,3.97000002861023,0.287170469760895
Chad,3.93600010871887,0.216113850474358
Zimbabwe,3.875,0.189143493771553
Lesotho,3.80800008773804,0.157497271895409
Angola,3.79500007629395,0.097926490008831
Afghanistan,3.79399991035461,0.311870932579041
Botswana,3.76600003242493,0.0993484482169151
Benin,3.65700006484985,0.207948461174965
Madagascar,3.64400005340576,0.208732530474663
Haiti,3.6029999256134,0.489203780889511
Yemen,3.59299993515015,0.104125209152699
South Sudan,3.59100008010864,0.285670816898346
Liberia,3.53299999237061,0.26654988527298
Guinea,3.50699996948242,0.264815092086792
Togo,3.49499988555908,0.196896150708199
Rwanda,3.47099995613098,0.252756029367447
Syria,3.46199989318848,0.493663728237152
Tanzania,3.34899997711182,0.354256361722946
Burundi,2.90499997138977,0.204435184597969
Central African Republic,2.69300007820129,0.280876487493515
